,Ticker,Fiscal Date,Revenue (USD),Fiscal Year,Total Revenue,Market Share
0,AMZN,2024-12-31,637959000000,2024,2479997933000,0.2572417466607622
1,AMZN,2023-12-31,574785000000,2023,2367952111000,0.24273506095411065
2,AMZN,2022-12-31,513983000000,2022,2233563149000,0.2301179620688665
3,AMZN,2021-12-31,469822000000,2021,2050036470000,0.22917738629303508
4,AMZN,2020-12-31,386064000000,2020,1820831850000,0.2120261681494642
5,AMZN,2019-12-31,280522000000,2019,1667848375000,0.1681939462872337
6,AMZN,2018-12-31,232887000000,2018,1584911418000,0.14694007334105785
7,AMZN,2017-12-31,177866000000,2017,1456241666000,0.12214044148905707
8,AMZN,2016-12-31,135987000000,2016,1372156286000,0.09910460010092466
9,AMZN,2015-12-31,107006000000,2015,1304704129000,0.08201552951473798
10,AMZN,2014-12-31,88988000000,2014,1221769594000,0.07283533690559335
11,AMZN,2013-12-31,74452000000,2013,1171525917068,0.06355130425653102
12,AMZN,2012-12-31,61093000000,2012,1120003482000,0.054547151845372566
13,AMZN,2011-12-31,48077000000,2011,1046792430000,0.04592792097283317
14,AMZN,2010-12-31,34204000000,2010,980998252000,0.03486652492016877
15,AMZN,2009-12-31,24509000000,2009,951927858000,0.02574669896886241
16,AMZN,2008-12-31,19166000000,2008,907379923893,0.021122354038615572
17,AMZN,2007-12-31,14835000000,2007,853341811000,0.017384592913143922
18,AMZN,2006-12-31,10711000000,2006,767562923000,0.013954556270300721
19,AMZN,2005-12-31,8490000000,2005,122693850000,0.06919662232459084
20,AZO,2024-08-31,18490268000,2024,2479997933000,0.007455759439941437
21,AZO,2023-08-31,17457209000,2023,2367952111000,0.007372281271612253
22,AZO,2022-08-31,16252230000,2022,2233563149000,0.007276369153599427
23,AZO,2021-08-31,14629585000,2021,2050036470000,0.007136255971094992
24,AZO,2020-08-31,12631967000,2020,1820831850000,0.006937470365536499
25,AZO,2019-08-31,11863743000,2019,1667848375000,0.007113202361695499
26,AZO,2018-08-31,11221077000,2018,1584911418000,0.007079939530096817
27,AZO,2017-08-31,10888676000,2017,1456241666000,0.0074772451950979955
28,AZO,2016-08-31,10635676000,2016,1372156286000,0.007751067504857096
