Ticker,Fiscal Year,Market Share
AMZN,2024,0.2572417466607622
AMZN,2023,0.24273506095411065
AMZN,2022,0.2301179620688665
AMZN,2021,0.22917738629303508
AMZN,2020,0.2120261681494642
AMZN,2019,0.1681939462872337
AMZN,2018,0.14694007334105785
AMZN,2017,0.12214044148905707
AMZN,2016,0.09910460010092466
AMZN,2015,0.08201552951473798
AMZN,2014,0.07283533690559335
AMZN,2013,0.06355130425653102
AMZN,2012,0.054547151845372566
AMZN,2011,0.04592792097283317
AMZN,2010,0.03486652492016877
AMZN,2009,0.02574669896886241
AMZN,2008,0.021122354038615572
AMZN,2007,0.017384592913143922
AMZN,2006,0.013954556270300721
AMZN,2005,0.06919662232459084
AZO,2024,0.007455759439941437
AZO,2023,0.007372281271612253
AZO,2022,0.007276369153599427
AZO,2021,0.007136255971094992
AZO,2020,0.006937470365536499
AZO,2019,0.007113202361695499
AZO,2018,0.007079939530096817
AZO,2017,0.0074772451950979955
AZO,2016,0.007751067504857096
AZO,2015,0.007808161079254161
AZO,2014,0.007755400892715292
AZO,2013,0.007808218210736384
AZO,2012,0.007681996652935405
AZO,2011,0.007712104872596375
AZO,2010,0.007505230498616628
AZO,2009,0.007161072073594048
AZO,2008,0.007188505970040803
AZO,2007,0.007230167232483116
AZO,2006,0.007749664322960008
AZO,2005,0.046545788562344405
BBY,2025,0.029653735611420592
BBY,2024,0.017520982345109074
BBY,2023,0.019551915676389284
BBY,2022,0.02317418248200154
BBY,2021,0.023054224006073414
BBY,2020,0.02396596918051494
BBY,2019,0.025709171554638473
BBY,2018,0.026595177194944027
BBY,2017,0.027058008928031868
BBY,2016,0.028807214165981674
BBY,2015,0.030918120900650572
BBY,2014,0.0347119458597363
BBY,2013,0.03561974213292445
BBY,2012,0.04527218068059542
BBY,2011,0.048024802777757954
BBY,2010,0.050656563249411375
BBY,2009,0.04728824734111311
BBY,2008,0.04410831554249771
BBY,2007,0.04210973789962344
BBY,2006,0.04018953896239722
KMX,2025,0.01881808295937015
KMX,2024,0.010700025047157972
KMX,2023,0.012536095160921098
KMX,2022,0.014282296882576298
KMX,2021,0.00924381067230477
KMX,2020,0.011159727352089102
KMX,2019,0.010896134368329495
KMX,2018,0.010801997389610579
KMX,2017,0.010901430971691481
KMX,2016,0.01104077950490838
KMX,2015,0.01093636149594802
KMX,2014,0.010291874230420568
KMX,2013,0.009357725544336955
KMX,2012,0.008931757053233876
KMX,2011,0.008574339804883762
KMX,2010,0.007614889205735303
KMX,2009,0.007326149709130584
KMX,2008,0.009036535616548321
KMX,2007,0.008748728708430764
KMX,2006,0.008155640159810065
COST,2024,0.10260210164457423
COST,2023,0.10232048142970236
COST,2022,0.10161073802708946
COST,2021,0.0955734216767373
COST,2020,0.09158506316769448
COST,2019,0.0915568838804067
COST,2018,0.0893273897784488
COST,2017,0.08860136542748805
COST,2016,0.08652002779222774
COST,2015,0.0890615714453679
COST,2014,0.0921941424579273
COST,2013,0.08975985803470392
COST,2012,0.08851490338491644
COST,2011,0.08494043083593947
COST,2010,0.07945579907108744
COST,2009,0.07502879488163902
COST,2008,0.07988166598288915
COST,2007,0.07546818188192586
COST,2006,0.0783665093734602
COST,2005,0.4314415759225096
DG,2025,0.028999871026815192
DG,2024,0.015601468245255993
DG,2023,0.015982106573944985
DG,2022,0.015321012533413713
DG,2021,0.016461579827406682
DG,2020,0.015242468984711577
DG,2019,0.015364132246134185
DG,2018,0.014809008713949462
DG,2017,0.015098179452860128
DG,2016,0.01484419975174752
DG,2015,0.014493391704442134
DG,2014,0.014326896892803177
DG,2013,0.01367628984265144
DG,2012,0.013220662469333287
DG,2011,0.012452325433801618
DG,2010,0.012024873618225367
DG,2009,0.010985777873936325
DG,2008,0.010464465600320796
DG,2007,0.010745778399460143
DG,2006,0.011181151072874321
DLTR,2025,0.012552210350735813
DLTR,2024,0.006766578220369831
DLTR,2023,0.006508366418563944
DLTR,2022,0.011784399295710265
DLTR,2021,0.012443339605563212
DLTR,2020,0.012967040311822314
DLTR,2019,0.013684277505141916
DLTR,2018,0.014035800201421731
DLTR,2017,0.014227858248906882
DLTR,2016,0.01129492329563981
DLTR,2015,0.006593218959606742
DLTR,2014,0.006417167392692537
DLTR,2013,0.006311853534155142
DLTR,2012,0.00592007088063678
DLTR,2011,0.005619452177352868
DLTR,2010,0.005332527340731694
DLTR,2009,0.004879466401749112
DLTR,2008,0.004675659983524493
DLTR,2007,0.004651594412499729
DLTR,2006,0.004421688305025124
EBAY,2024,0.004146374423611264
EBAY,2023,0.004270356631380372
EBAY,2022,0.004385369629860418
EBAY,2021,0.005082836404368943
EBAY,2020,0.004884580638239605
EBAY,2019,0.004454241831185644
EBAY,2018,0.005457718268517137
EBAY,2017,0.006816863046686099
EBAY,2016,0.006776196046227929
EBAY,2015,0.006585401095178109
EBAY,2014,0.007194482530230655
EBAY,2013,0.007048072842182569
EBAY,2012,0.012564246652940316
EBAY,2011,0.01113114660181484
EBAY,2010,0.009333349964011965
EBAY,2009,0.009168091811428004
EBAY,2008,0.009413103348545325
EBAY,2007,0.008990921224179885
EBAY,2006,0.007777526533808356
EBAY,2005,0.0371037423636148
FRT,2024,0.00048486008153459216
FRT,2023,0.0004781152434378771
FRT,2022,0.00048101527842676634
FRT,2021,0.00046400345258248017
FRT,2020,0.0004588529138481403
FRT,2019,0.0005610749838096044
FRT,2018,0.000577594425532746
FRT,2017,0.0005887401933464524
FRT,2016,0.0005841834550324685
FRT,2015,0.000570253426399634
FRT,2014,0.0005615543252748521
FRT,2013,0.0005440878351161581
FRT,2012,0.0005428715265369149
FRT,2011,0.0005283368356035972
FRT,2010,0.0005552242309194247
FRT,2009,0.0005578353396607918
FRT,2008,0.0005736571708207436
FRT,2007,0.0005693990306540834
FRT,2006,0.0005876026401030317
FRT,2005,0.0033443404049999246
HD,2025,0.11390353453862802
HD,2024,0.06156013195354546
HD,2023,0.06647220578017847
HD,2022,0.06767527484847485
HD,2021,0.06444275598667765
HD,2020,0.06053551842252759
HD,2019,0.06487580143488762
HD,2018,0.06366538776490788
HD,2017,0.06495831166528372
HD,2016,0.0645108730712035
HD,2015,0.06375085212901936
HD,2014,0.06450643426308741
HD,2013,0.06380908771279106
HD,2012,0.06285248316754787
HD,2011,0.064957481589736
HD,2010,0.06745781642840278
HD,2009,0.07488802791187985
HD,2008,0.08524433697865366
HD,2007,0.10644855183358641
HD,2006,0.10619455103617609
KIM,2024,0.0008213772974947072
KIM,2023,0.0007531402310525865
KIM,2022,0.0007735102545784345
KIM,2021,0.0006656393776253161
KIM,2020,0.000580994340581202
KIM,2019,0.0006948377426695037
KIM,2018,0.0007349066873843418
KIM,2017,0.0008246117578124564
KIM,2016,0.0008532497441767359
KIM,2015,0.0008942786138756828
KIM,2014,0.0008134897159668552
KIM,2013,0.0008080683373776795
KIM,2012,0.0008234831541354083
KIM,2011,0.0008753292188022414
KIM,2010,0.0008660046011988205
KIM,2009,0.0008869674239536752
KIM,2008,0.0008361481007259621
KIM,2007,0.0007986869871069753
KIM,2006,0.0007737215832140969
KIM,2005,0.004258933923745974
KR,2025,0.10505554190808687
KR,2024,0.06049964719869789
KR,2023,0.06261021889390735
KR,2022,0.061734542881285694
KR,2021,0.06463202091229138
KR,2020,0.0671594139788361
KR,2019,0.07264569238795462
KR,2018,0.07739359979801723
KR,2017,0.07920182665615337
KR,2016,0.08004190274867859
KR,2015,0.0831337907109513
KR,2014,0.08051845493873046
KR,2013,0.08258571030348291
KR,2012,0.08069117770832074
KR,2011,0.0785154703497426
KR,2010,0.07821950736768489
