Ticker,Fiscal Year,Market Share
APTV,2024,0.2420323587183529
APTV,2023,0.24156279502622796
APTV,2022,0.21847185328265295
APTV,2021,0.24978689825335815
APTV,2020,0.2267519114556173
APTV,2019,0.26321951587263
APTV,2018,0.2759367445550617
APTV,2017,0.26496374743138995
APTV,2016,0.3264337875761076
APTV,2015,0.31867458271281274
APTV,2014,0.36775719720580574
APTV,2013,0.3808888339279106
APTV,2012,0.3850042494605252
APTV,2011,0.4125947445856939
APTV,2010,0.40581735969005034
APTV,2009,0.3867685730842239
APTV,2008,0.49671565339148704
APTV,2007,0.5796708750361173
APTV,2006,0.6455409051622335
APTV,2005,0.7764989972106319
AZO,2024,0.2270198943526851
AZO,2023,0.2103143084832189
AZO,2022,0.20302217439967585
AZO,2021,0.2339786566707552
AZO,2020,0.21921955171393537
AZO,2019,0.21750844110171366
AZO,2018,0.21449999707528078
AZO,2017,0.2239292453839054
AZO,2016,0.20838148971324083
AZO,2015,0.21407493065964692
AZO,2014,0.2047003789888818
AZO,2013,0.21163773522569276
AZO,2012,0.21344956613030366
AZO,2011,0.20764704401110923
AZO,2010,0.21624652219486423
AZO,2009,0.22429036932763005
AZO,2008,0.17939812694742927
AZO,2007,0.1605015340610033
AZO,2006,0.1454950921084532
AZO,2005,0.16456355609857304
KMX,2025,1.0
KMX,2024,0.32580430945287686
KMX,2023,0.35762609804391843
KMX,2022,0.3984986065595621
KMX,2021,0.30307971188045696
KMX,2020,0.35264012651180887
KMX,2019,0.33318343553004753
KMX,2018,0.3272666946700567
KMX,2017,0.3264770844609991
KMX,2016,0.29682286722267975
KMX,2015,0.2998402319253303
KMX,2014,0.2716494717187197
KMX,2013,0.2536363338749869
KMX,2012,0.2481750193246382
KMX,2011,0.2308625653104609
KMX,2010,0.2194060939158353
KMX,2009,0.22946072977948895
KMX,2008,0.22551801034301708
KMX,2007,0.19421188108596862
KMX,2006,0.15311703408099847
ORLY,2024,0.20514343747608513
ORLY,2023,0.19049679844663472
ORLY,2022,0.18000736575810908
ORLY,2021,0.21315473319542969
ORLY,2020,0.2013884103186385
ORLY,2019,0.18608860749560885
ORLY,2018,0.18229656369960082
ORLY,2017,0.18462992272370557
ORLY,2016,0.1683618554879719
ORLY,2015,0.16741025470221
ORLY,2014,0.15589295208659273
ORLY,2013,0.15383709697140974
ORLY,2012,0.15337116508453297
ORLY,2011,0.148895646092736
ORLY,2010,0.15853002419925014
ORLY,2009,0.15948032780865712
ORLY,2008,0.09836820931806661
ORLY,2007,0.06561570981691084
ORLY,2006,0.055846968648314836
ORLY,2005,0.058937446690795085
