Ticker,Fiscal Date,Revenue (USD)
AMZN,2024-12-31,637959000000
AMZN,2023-12-31,574785000000
AMZN,2022-12-31,513983000000
AMZN,2021-12-31,469822000000
AMZN,2020-12-31,386064000000
AMZN,2019-12-31,280522000000
AMZN,2018-12-31,232887000000
AMZN,2017-12-31,177866000000
AMZN,2016-12-31,135987000000
AMZN,2015-12-31,107006000000
AMZN,2014-12-31,88988000000
AMZN,2013-12-31,74452000000
AMZN,2012-12-31,61093000000
AMZN,2011-12-31,48077000000
AMZN,2010-12-31,34204000000
AMZN,2009-12-31,24509000000
AMZN,2008-12-31,19166000000
AMZN,2007-12-31,14835000000
AMZN,2006-12-31,10711000000
AMZN,2005-12-31,8490000000
AZO,2024-08-31,18490268000
AZO,2023-08-31,17457209000
AZO,2022-08-31,16252230000
AZO,2021-08-31,14629585000
AZO,2020-08-31,12631967000
AZO,2019-08-31,11863743000
AZO,2018-08-31,11221077000
AZO,2017-08-31,10888676000
AZO,2016-08-31,10635676000
AZO,2015-08-31,10187340000
AZO,2014-08-31,9475313000
AZO,2013-08-31,9147530000
AZO,2012-08-31,8603863000
AZO,2011-08-31,8072973000
AZO,2010-08-31,7362618000
AZO,2009-08-31,6816824000
AZO,2008-08-31,6522706000
AZO,2007-08-31,6169804000
AZO,2006-08-31,5948355000
AZO,2005-08-31,5710882000
BBY,2025-01-31,41528000000
BBY,2024-01-31,43452000000
BBY,2023-01-31,46298000000
BBY,2022-01-31,51761000000
BBY,2021-01-31,47262000000
BBY,2020-01-31,43638000000
BBY,2019-01-31,42879000000
BBY,2018-01-31,42151000000
BBY,2017-01-31,39403000000
BBY,2016-01-31,39528000000
BBY,2015-01-31,40339000000
BBY,2014-01-31,42410000000
BBY,2013-01-31,41729451068
BBY,2012-01-31,50705000000
BBY,2011-01-31,50272000000
BBY,2010-01-31,49694000000
BBY,2009-01-31,45015000000
BBY,2008-01-31,40023000000
BBY,2007-01-31,35934000000
BBY,2006-01-31,30848000000
KMX,2025-02-28,26353420000
KMX,2024-02-29,26536040000
KMX,2023-02-28,29684873000
KMX,2022-02-28,31900412000
KMX,2021-02-28,18950149000
KMX,2020-02-29,20319987000
KMX,2019-02-28,18173100000
KMX,2018-02-28,17120209000
KMX,2017-02-28,15875118000
KMX,2016-02-29,15149675000
KMX,2015-02-28,14268716000
KMX,2014-02-28,12574299000
KMX,2013-02-28,10962818000
KMX,2012-02-29,10003599000
KMX,2011-02-28,8975554000
KMX,2010-02-28,7470193000
KMX,2009-02-28,6973966000
KMX,2008-02-29,8199571000
KMX,2007-02-28,7465656000
KMX,2006-02-28,6259967000
COST,2024-08-31,254453000000
COST,2023-08-31,242290000000
COST,2022-08-31,226954000000
COST,2021-08-31,195929000000
COST,2020-08-31,166761000000
COST,2019-08-31,152703000000
COST,2018-08-31,141576000000
COST,2017-08-31,129025000000
COST,2016-08-31,118719000000
COST,2015-08-31,116199000000
COST,2014-08-31,112640000000
COST,2013-08-31,105156000000
COST,2012-08-31,99137000000
COST,2011-08-31,88915000000
COST,2010-08-31,77946000000
COST,2009-08-31,71422000000
COST,2008-08-31,72483020000
COST,2007-08-31,64400155000
COST,2006-08-31,60151227000
DG,2025-01-31,40612308000
DG,2024-01-31,38691609000
DG,2023-01-31,37844863000
DG,2022-01-31,34220449000
DG,2021-01-31,33746839000
DG,2020-01-31,27753973000
DG,2019-01-31,25625043000
DG,2018-01-31,23470967000
